halcion	34
perphenazindecanoat	33
mesalazin	33
nystatin	33
phenytoinum	33
benzydaminhydrochlorid	33
bittersød natskygge	33
tøris	33
flåt	33
chloralose	33
pcp	33
poppers	33
mildison lipid	33
betolvex	33
spiriva	33
mini-pe	33
thycapzol	33
sæbespåner	33
desmopressin	32
vitamin c	32
sølvnitrat	32
voltaren emulgel	32
venlafaxin \2care4\""	32
vetmedin vet.	32
fenemal \sad\""	32
rockwool	32
psykotomimetika	32
cisordinol depot	32
zalasta	32
digoxin \sad\""	32
lusemiddel	31
mælkesyre	31
estradiol	31
hyacinthus orientalis	31
citronmelisseblad ekstrakt valeriane ekstrakt t	31
calcium	31
alfuzosinhydrochlorid	31
dexamfetamin	31
randbæltet hjelmhat	31
luseshampoo	31
ketoprofen	31
teatree oil	31
digitalis	31
stuebirk	31
gbl	31
akrylatlim	31
pantoprazol \krka\""	31
tizanidin \teva\""	31
digoxin \dak\""	31
industrielt rengøringsmiddel	31
metadon	31
aspirin	31
trileptal	31
apozepam	31
gamma butyrolacton	30
vandperle	30
clotrimazol	30
agaricus	30
atropinsulfat	30
lavendel	30
methotrexatnatrium	30
galerina marginata	30
luftfrisker	30
tranexamsyre	30
whisky	30
tramadol \aurobindo\""	30
hyacint	30
quetiapin \lambda\""	30
mandolgin	30
fycompa	30
enalapril \actavis\""	30
termometervæske	30
madopar 125	30
fiskeolie rig på omega-3-syrer olivenolie rense	29
ukendt væske	29
kaliumchlorid macrogol 3350 natriumchlorid natr	29
kuldioxid	29
fenibut	29
isfjerner	29
blomsterjord	29
liraglutid	29
tamoxifen	29
epoxy	29
læbepomade	29
menthan diol	29
afføring	29
phenibut	29
amanita virosa	29
ethosuximid	29
doxycyclin (vandfrit)	29
amlodipin	29
cannabisolie	29
abrikoskerner	29
lilje	29
scombroid	29
lipistad	29
paraplytræ	29
ksalol	29
bittermandel	29
tåregas	29
panodil retard	29
venlafaxin \krka\""	29
amlodipin \orion\""	29
memantin \stada\""	29
nicotin	28
anioniske tensider	28
mometasonfuroat	28
mandel	28
methylprednisolon	28
kølemiddel	28
sulfasalazin	28
nortriptylini chloridum	28
mariehøne	28
acetonitril	28
cyanider	28
terbutalinsulfat	28
lamotrigen	28
phencyclidin	28
glucosamin	28
pentobarbital	28
hedrin	28
kirsebærsten	28
håndsæbe flydende	28
blomstervandstilsætning	28
berberis	28
zopiclon \stada\""	28
paradisæble	28
læbestift	28
ibumetin retard	28
magnesiumoxid	27
fyrværkeri	27
metaloxider	27
hundelort	27
tolterodintartrat	27
cholecalciferol tricalciumphosphat	27
bravecto	27
imipraminhydrochlorid	27
calciumcarbonat cholecalciferol	27
avocado	27
mælkesyrebakterier	27
skurecreme	27
guanfacin	27
glimepirid	27
legetøj	27
nitrogenoxid	27
ukendt pille	27
beton	27
briviact	27
elefantsnot	27
håndsprit gel	27
primperan	27
kalk væk	27
pantoprazol \nycomed\""	27
venlafaxin \hexal\""	27
hvidtjørn	27
citalopram \sandoz\""	27
atorvastatin \pfizer\""	27
sepan	27
røn	27
tjørn	27
spiron	27
olie	26
zinksulfat vandfrit	26
dimethylglutarat	26
mycophenolatmofetil	26
desmopressinacetat (trihydrat)	26
bifidobacterium longum lactobacillus rhamnosus	26
lactocare	26
mcpa	26
amoxicillintrihydrat clavulansyre	26
fugleklat	26
ethanol 85%	26
unikalk forte	26
d vitamin	26
cellulosefortynder	26
trimethoprim	26
batteri	26
duolac	26
slime	26
dexibuprofen	26
ezetimib	26
smørblomst	26
nikotin tyggegummi	26
laxoberal	26
rizatriptan \teva\""	26
amlodipin \actavis\""	26
rododendron	26
brændenælde	26
ventoline	26
fugle-kirsebær	26
risperidon \teva\""	26
hvid fluesvamp	26
almindelig netbladhat	26
spirix	26
d3 vitamin	26
hørfrø	25
trækul	25
eucalyptus	25
hydrocortison miconazolnitrat	25
piperacillin tazobactam	25
kobberacetat mælkesyre salicylsyre	25
lithium	25
fuglelort	25
lidocain	25
tyggegummi	25
flunitrazepam	25
trandolapril	25
benzalkoniumklorid	25
duftpinde	25
paxillus involutus	25
isoniazid	25
bekæmpelsesmiddel	25
thiaminhydrochlorid	25
medanef	25
iod	25
sitagliptinphosphatmonohydrat	25
kalk læsket	25
kuglepen	25
enacodan	25
ligusterbær	25
borup fliserens	25
cordarone	25
solian	25
bioethanol	25
kodimagnyl	25
klorin > 5%	25
madopar \625\""	25
bioclavid	25
metomylan	25
efexor depot	25
jernvitriol	25
pantoloc	25
cozaar	25
eslicarbazepinacetat	24
ethanol  70%	24
insulin degludec	24
hydraulikolie	24
toluen	24
natriumchlorid	24
adblue	24
cytisus scoparius	24
aaa	24
penicillin	24
vitamin b	24
calathea	24
enalaprilmaleat hydrochlorthiazid	24
bi	24
esomeprazolnatrium	24
krokus	24
innohep	24
zink \natur-drogeriet\""	24
læsket kalk	24
blegemidler til tøj	24
strepsils	24
mælkebøtte	24
doloproct	24
canesten	24
industrirengøringsmiddel	24
gemadol retard	24
wd40	23
nitrofurantoin	23
caffein phenazon	23
rotte	23
farvekridt	23
aubergine	23
0.32	23
svampe - gastrointestinale irritanter	23
azathioprin	23
fedtsyrer	23
lithiumbatteri	23
fluocortolonpivalat lidocainhydrochlorid	23
protox hysan	23
ukendt blomst	23
frugtfarve	23
peratsin	23
benzocain chlorhexidindihydrochlorid	23
kaleroid	23
ukendt stof	23
dalteparinnatrium	23
elledans bruskhat	23
barberskum	23
speed	23
xeplion	23
teaktræsolie	23
brentacort	23
minibatteri	23
tramadol retard \actavis\""	23
badesalt	23
engletrompet	23
metadon \evolan\""	23
kloakgas	23
hexokain	23
zolpidem \actavis\""	23
fragmin	23
remo-wax	22
citronmelisseblad ekstrakt valerianerod ekstrak	22
natriumbicarbonat	22
leflunomid	22
fluticasonpropionat	22
lusemidler	22
doxycyclinmonohydrat	22
dapagliflozin propandiol monohydrat	22
robenacoxib	22
kulbrinter aromatiske	22
lactulose	22
budesonid	22
carbidopamonohydrat entacapon levodopa	22
antihistamin	22
buspironhydrochlorid	22
vaccine til dyr	22
lymecyclin	22
tenutex	22
remowax	22
crystal meth	22
vanish oxi action	22
zebinix	22
pantoprazole \teva\""	22
tetracyklin \dak\""	22
forxiga	22
fyringsolie	22
rød kornel	22
forsytia	22
locoid lipid	22
gifttyde	22
neglebehandlingsmidler	22
duftkugler	22
diclofenac rapid \teva\""	22
amoxicillin \mylan\""	22
gyvel	22
quetiapin \lannacher\""	22
asacol	22
metformin \sandoz\""	22
fenemal \dlf\""	22
spiselig rørhat	22
stjernekaster	22
almindelig gyvel	22
madforgiftning	21
purpur solhat rod purpur solhat urt	21
kalkfjerner	21
2cb	21
harpiks	21
magnesiumgluconat (vandfrit)	21
donepezilhydrochlorid	21
klortablet	21
skovsyre	21
paliperidonpalmitat	21
toiletbørste	21
fortyndet med vand	21
k-othrine	21
ukendt blad	21
metforminhydrochlorid sitagliptinphosphatmonohydr	21
polyfilla	21
moxonidin	21
lisinoprildihydrat	21
caffein	21
tigerbalsam	21
morfin	21
fryselegeme	21
orfiril long	21
svejserøg	21
klomipramin \mylan\""	21
citalopram \actavis\""	21
kvit d mod myrer	21
drue-hyld	21
sertralin \hexal\""	21
pral-bønne	21
levodopa/carbidopa \teva\""	21
oxycodone \orifarm\""	21
losartan \agp\""	21
trimopan	21
gabaratio	21
madopar \125\""	21
ukendt gas	20
ketoconazol	20
hårspray	20
xylen	20
glycerol	20
natriumhydrogensulfat	20
rense benzin	20
opvasketab	20
rodalon indendørs	20
mirabelle	20
steradent	20
balsam	20
laks	20
ukendt stueplante	20
vitamin d3	20
vorterod	20
zanax	20
kidz zoo	20
julerose	20
kvit mod myrer	20
make up fjerner	20
metformin	20
diclofenac \sophena\""	20
blomme	20
citalopram	20
sigøjnerblad	20
